title,description,category,sub_category,type,image_link,availability
Saffron 3 Cushion Woven Chenille Sofa  MTF156-40," Description:   With a sleek sophisticated design, this console table emits rich hues from the solid mango wood’s medium and dark stains. Perfect for adding a welcoming addition to your front entry, this console’s two push drawers add versatile storage for everything you need whilst you’re running out the door.  
  Dimensions:  95 x 48 x 30H in  |  Seat 74 x 28 x 21H in     
  Condition: Used in good condition. Please see photos for more detail.  
  Location: Local pick up Portland, OR.  Shipping Suggestions available upon request.  
   ",Seating,Sofas,Sofas,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_ebb20533-b102-4b8a-9526-56986ba06a2b.jpg,in_stock
Robins Egg Blue Oval 2 Tier Side Table MTF156-54," Introducing the luxurious Robins Egg Blue Oval 2 Tier Side Table, designed for those with a discerning taste. This elegant piece features a unique two-tier design, perfect for displaying your most prized possessions. Its rich color will add a touch of sophistication to any room. 
  Dimensions: 20.5 x 15.25 x 24.5H in   
  Condition: New    
  Location: Local pick up Portland, OR.  Shipping Suggestions available upon request.  
   ",Tables & Desks,Tables,Accent & Side tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_d7e67b65-11af-42c4-a531-59fa15239434.jpg,in_stock
Putney MT Loom Furniture & Yarn Loom DH225-1," Indulge in the luxurious craftsmanship of the Putney MT Loom Furniture &amp; Yarn Loom. Featuring a sleek design and high-quality materials, this piece combines form and function for your comfort and creativity. Elevate your home decor or artisanal hobbies with this sophisticated addition. 
 Dimensions: 53 x 52 x 56""H 
 Condition: Very good 
 Local pick up Annandale, VA.  Contact us for shipper suggestions ",Decor,Decorative Accessories,Decorative Accents,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_1cb82e6c-f2df-4096-bea9-d6bccb7befe0.jpg,in_stock
Platform Mid Century Double Bed DH225-12," Indulge in luxury and style with our Platform Mid Century Double Bed. With a sleek, modern design and a sturdy platform for support, this bed is both functional and elegant. Elevate your bedroom and create a space for rest and relaxation in style. 
 Dimensions: 107 x 86 x 29""H  Bed = 58""  
 Condition: Very good.   
 Local pick up Annandale, VA.  Contact us for shipper suggestions ",Beds,Bed Frames,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_fe5db428-828b-4fce-9c46-2fa5cd2fdbf4.jpg,in_stock
Paulestein Power Reclining Two Seater Gray Sofa Couch MTF156-28,"   Description: Room for two, comfort for days. The Paulestein reclining power sofa does the work for you as you sit back, relax and kick up your feet. It features a timeless two-over-two cushion design, wide track arms and irresistibly soft velvety blue upholstery. Contrast stitching and tufted details offer a modern look that is always in style. Geometric accent pillows add a splash of color.    
 
   Dual-sided recliner; middle seat remains stationary   
   One-touch power control with adjustable positions and zero-draw USB plug-in   
   Zero-draw technology only consumes power when the USB receptacle is in use   
   Corner-blocked frame with metal reinforced seat   
   Attached cushions   
   High-resiliency foam cushions wrapped in thick poly fiber   
   Polyester upholstery with contrast stitching   
   USB charging   
   Accent pillows included   
   Pillows with soft polyfill   
   Power cord included; UL Listed   
 
  Dimensions: 72 x 36 x 40H in  |  Seat: 54 x 22 x 19H in  |  Reclined: 68D in |  241.00   lbs   
    Condition: Used. Very lightly used. Sofa has been professionally cleaned.   
  Location: Local pick up Portland, OR.  Shipping suggestions available upon request.  
   ",Seating,"Sofas, Armchairs","Loveseats, Recliners",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_b11c7c1f-fb79-40f6-af7a-f3cd319bd711.png,in_stock
Nuevo Stingray Shagreen Black & Brass Round Side/Coffee MTF156-48," Description: Introducing the Nuevo Stingray Shagreen Black &amp; Brass Side/Coffee. Crafted with expert precision, this piece boasts a sleek combination of black and brass. The shagreen texture adds a touch of luxury to any space. Elevate your home décor with this stylish and sophisticated side/coffee table. 
  Dimensions:  36 x 36 x 16H in  
 Condition: New.  
 Location: Local pick up Portland, OR.  Shipping suggestions available upon request. 
   ",Tables & Desks,Tables,Coffee tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_30ed0861-620b-4a65-9d70-69e2fced13c3.jpg,in_stock
Moes 2 Drawer Tobin Black Console Table MTF156-39," Description:   With a sleek sophisticated design, this console table emits rich hues from the solid mango wood’s medium and dark stains. Perfect for adding a welcoming addition to your front entry, this console’s two push drawers add versatile storage for everything you need whilst you’re running out the door.  
  Dimensions:     54″W x 16″D x 30″H   
  Condition: This is a new piece there is a nick on the left edge that could be painted to bring it to it's original condition. Please see photos for more detail.  
  Location: Local pick up Portland, OR.  Shipping Suggestions available upon request.  
   ",Tables & Desks,Tables,Console tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_bca79e98-32cf-4c16-8df2-90bdbb969ef1.jpg,in_stock
Mobital Grey Leatherette Tate Dining/Office Chair MTF156-49," Description: The Mobital Grey Leatherette Tate Dining/Office Chair provides a sleek and modern design with its grey leatherette material. Perfect for both dining and office spaces, this chair offers comfort and style while enhancing any room's aesthetic. Upgrade your seating experience with the Mobital Tate chair. 
  Dimensions: 18W x 21D x 34H in  |  Seat 19H in   
  Condition: New. Please see photos for more detail.   
  Location: Local pick up Portland, OR.  Shipping suggestions available upon request.  
   ",Seating,Chairs,"Office Chairs, Dining Chairs",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_a38eb1ca-39a5-4705-b752-c6a44b2f0a8f.jpg,in_stock
Mid Century King Storage Headboard Bed DH225-10," Experience the perfect blend of functionality and style with our Mid Century Storage Headboard Bed. Featuring a sleek design and ample storage space, this bed will elevate your room with its stylish and sophisticated presence. Perfect for those who appreciate luxury and practicality. 
 Dimensions: 80 x 10 x 38""H  
 Condition: Very good.   
 Local pick up Annandale, VA.  Contact us for shipper suggestions ",Beds,Headboards,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_162ad3d8-76bb-44e9-8d3a-9c020cfd3d22.jpg,in_stock
Mid Century Modern 2 Tier Wood Coffee Table MTF156-55," Introducing this Mid Century Modern 2 Tier Coffee Table, the perfect addition to your elegant and refined living space. Featuring a sleek design and two tiers for added storage, this coffee table exudes sophistication and luxury. Elevate your home décor with this timeless piece. 
  Dimensions: 42 x 23 x 16.5H in   
  Condition: Used in very good vintage condition.   
  Location: Local pick up Portland, OR.  Shipping Suggestions available upon request.  
   ",Tables & Desks,Tables,Coffee tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_89453689-4c54-4bd5-b452-3d07cee885bb.jpg,in_stock
Mid Century Large Wood & Heavy Canvas Firewood/log Holder DH225-7," Solid wood frame with removable carrier.   
 Keep your firewood organized and easily accessible with our Mid Century Large Wood &amp; Heavy Canvas Firewood/log Holder. The sturdy wood and heavy canvas design not only adds a touch of mid-century style to your fireplace area, but also provides a functional solution for storing and carrying logs. Never struggle with messy firewood again! 
 Dimensions: 19 x 19 x 21""H  
 Condition: Very good.   
 Local pick up Annandale, VA.  Contact us for shipper suggestions ",Decor,Decorative Accessories,Decorative Accents,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_9a234011-11b2-4dc7-9fe4-666820bf2920.jpg,in_stock
Maohua Co Console Table Desk in Sunflower Yellow MTF156-53," Experience sophistication and luxury with the Maohua Co Console Table Desk in Sunflower yellow. This stunning piece adds a touch of elegance to any room while providing ample space for storage and organization. Embrace an exclusive and refined look with the Maohua Co Console Table Desk. 
  Dimensions: 42 x 19 x 30.5H in   
  Condition: New    
  Location: Local pick up Portland, OR.  Shipping Suggestions available upon request.  
   ",Tables & Desks,Tables,Console tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_e845e375-1fc9-4b1d-9154-67b6ba3245f9.jpg,in_stock
Light Modern Dining Table w/2 Leaves  MTF156-31," Description:  Crafted with solid wood, this rustic modern dining table seamlessly combines style and functionality. The 2 end leaves provide extra surface area for larger gatherings, making it perfect for both everyday meals and special occasions. Elevate your dining experience with the Light Modern Dining Table. 
  Dimensions:   120 x 40 x 30H in  (with leaves) |  2-18in leaves 
    Condition: Used in like new condition. Please see photos for more detail.  
  Location: Local pick up Portland, OR.  Shipping Suggestions available upon request.  
   ",Tables & Desks,Tables,Dining tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6c67c23a-6fac-48e2-803c-440a8dd51804.png,in_stock
Lane Furniture Oak & Wicker Cane Lowboy Dresser DH225-8," Elevate your bedroom with the Lane Furniture Oak &amp; Wicker Cane Lowboy Dresser. This stunning piece combines the warmth of oak with the texture of wicker cane, creating a unique and elegant look. With ample storage space, this dresser is both functional and stylish, making it a must-have for any bedroom. 
 Dimensions: 64 x 19 x 27.5  
 Condition: Very good.   
 Local pick up Annandale, VA.  Contact us for shipper suggestions ",Storage,Dressers & Chests of Drawers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_2883747f-6c49-41ab-9e4c-0fa44bc932f6.jpg,in_stock
Lane Furniture Nightstand Oak & Wicker Cane DH225-12," Elevate your bedroom with the exquisite Lane Furniture Nightstand Oak &amp; Wicker Cane. Crafted with premium oak and delicate wicker cane, this nightstand embodies luxury and sophistication. Its timeless design and sturdy construction make it a perfect addition to your bedroom, offering both functionality and elegance. 
 Dimensions: 26 x 17 x 22""H  
 Condition: Very good.  Please see water marks on top of nightstands 
 Local pick up Annandale, VA.  Contact us for shipper suggestions ",Storage,Nightstands,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_aa4f6270-f138-4c9d-8ce7-6f751167ef26.jpg,in_stock
Kravet Oval Glass Top Oval Coffee Table  MTF156-13,"  Description:  Kravet's large oval cocktail/coffee table with substantial cross base in a grey painted wood with 3/4 inch oval glass top. This clean, simple look with sculptural angles beautifully complements other decor while standing out as functional art. Well made table constructed with extraordinary care. Kravet is a century old, family-owned home furnishings business known for its superb craftsmanship and attention to detail.  
   Dimensions: 60 x 32 x 18.5 H in.  |  3/4 in thick glass top  
   Condition: New.  The piece was an interior design custom order. The glass top has an internal chip incurred during shipping.  The outside suffers no cracking or chipping and is as smooth to the touch as new glass.  Glass top is easily replaceable.   
  Location:   Local pick up Portland, OR.  Shipping suggestions available upon request.   
   ",Tables & Desks,Tables,Coffee tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4f3e0b99-8720-4945-97b3-6de0310d2aeb.png,in_stock
Kepler Iron & Bluestone Industrial Square Coffee Table MTF156-33," Description:   Style, squared. A low, modern-minded coffee table of bluestone veneer sits within rustic black iron framing for a light look with substantial feel and a side of industrial edge. White mineral lines and subtle color, texture and pattern variations are to be expected and speak to each stone's individual nature.  
  Dimensions:    33.50""w x 32.50""d x 13.75""h  |  114 lbs.   
  Condition: Used in like new condition. Please see photos for more detail.  
  Location: Local pick up Portland, OR.  Shipping Suggestions available upon request.  
   ",Tables & Desks,Tables,Coffee tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_1a217b1c-4053-4767-9311-5a0c9d5ab641.jpg,in_stock
Hoot Judkins Double Wood Arched Bookcase MTF156-51," Add elegance and style to your home library with the Hoot Judkins Double Arched Bookcase. Its stunning double arched design and premium craftsmanship make it a statement piece that will enhance any room. Show off your collection of books or display your favorite art pieces with this luxurious bookcase. 
  Dimensions: 49.5 x 13 x 60.25H in   
  Condition: Used in good condition. Chairs will need a good cleaning or reupholstery.   
  Location: Local pick up Portland, OR.  Shipping Suggestions available upon request.  
   ",Storage,Bookcases & Shelving,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_00bcd1f0-389f-4c95-b5dd-0f395d351b73.jpg,in_stock
Four Hands Wood & Metal Eaton End Table MTF156-47," Description: Expertly crafted, the Four Hands Wood &amp; Metal Eaton End Table adds a touch of modern elegance to any space. Combining sturdy wood and metal materials, this end table offers both durability and style. Its sleek design and versatile functionality make it a perfect addition to your home decor. 
  Dimensions:  20 x 20 x 20H in  
 Color 2: Amber Oak Resin 
 Material 1: Iron 
 Material 2: Thick Oak Veneer 
 Clearance from Floor: 4.0"" 
 Distance Between Legs (Front to Back): 16.5"" 
 Distance Between Legs (Side to Side): 20.0"" 
 Tabletop Thickness: 5.0"" 
  Condition: New.  
 Location: Local pick up Portland, OR.  Shipping suggestions available upon request. 
   ",Tables & Desks,Tables,Accent & Side tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c35916a1-0e5c-4495-a388-767c02b3a176.jpg,in_stock
Four Hands Spider Grey Marble Dining Table w X Base MTF156-46," Description:   A rectangular tabletop of beautiful bluestone to accentuate a dramatic, atomic-style base of gunmetal-finished iron.   Alluring contrasts, incredible textures, intriguing finishes and modern functionality. Refined forms take inspiration from many eras, re-worked with reclaimed character woods, slate, stone, and iron for rustic allure. Woods are reclaimed from old buildings, then bleached, sanded and finished to heighten raw beauty. Colors are Gunmetal, ebony, Bluestone.  
  Dimensions:  78 3/4W x 35 3/8D x 30H in   
  Condition: New. There is a small crack on the width of the table that occurred during shipping. The Bluestone is varied in color and hides the imperfection. The table top is mounted on a thick wood slab to ensure stability. Please see photos for more detail. Please note the the main picture shows a light wood base.   This is for reference only. The actual table base is black.  
  Location: Local pick up Portland, OR.  Shipping suggestions available upon request.  
   ",Tables & Desks,Tables,Dining tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_8bd8c514-e24e-4136-bd86-472262dd4162.jpg,in_stock
Double Base Mid Century Glass Top Console Table DH225-4," Elevate your living space with our Double Base Mid Century Glass Top Console Table! Its sleek and modern design boasts two sturdy bases and a glass top, making it the perfect addition to any room. Showcase your style and personality with this stunning and functional piece. 
 Dimensions: 48 x 25 x 30""H  
 Condition: Very good.   
 Local pick up Annandale, VA.  Contact us for shipper suggestions ",Tables & Desks,Tables,Console tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_81da0a83-3228-42aa-b0d4-7c711c752608.jpg,in_stock
Danish Storage Bench Chest DH225-11," Add style and functionality to your home with our Danish Storage Bench Chest. Its sleek design blends seamlessly into any room, while providing ample storage space. Whether used as a seat, footrest, or storage unit, this Danish bench is the perfect addition to any modern home. 
 Dimensions: 59 x 17 x 17""H  
 Condition: Very good.   
 Local pick up Annandale, VA.  Contact us for shipper suggestions ",Storage,Trunks & Chests,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_10f956b3-8308-4137-bac0-537df7f0c37a.jpg,in_stock
Danish Mid Century Wood 5 Drawer Dresser MTF156-56," Elevate your bedroom with our Danish Mid Century 5 Drawer Dresser. This sophisticated and exclusive piece will add a touch of elegance to any room. With its sleek design and 5 spacious drawers, it provides both style and functionality. Crafted with the utmost care and attention to detail, this dresser is a must-have for any luxury lover. 
  Dimensions: 33.5 x 18 x 45H in   
  Condition: Used in very good vintage condition.   
  Location: Local pick up Portland, OR.  Shipping suggestions available upon request.  
   ",Storage,"Dressers & Chests of Drawers, Armoires & Wardrobes",,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_1dd5be81-5ec9-4daf-9f70-6d50f792e81c.jpg,in_stock
Danish Mid Century Dining Table w/6 Chairs MTF156-57," Experience the luxurious simplicity of our Danish Mid Century Dining Table w/6 Chairs. Crafted with attention to detail, this table and chair set seamlessly blends form and function. Make a statement in your dining room with this elegant and timeless piece.  
  Dimensions:   
 
  Table 39.5 x 39.5 x 29H in (2 - 19.75 Leaves)   
  Chairs 19 x 18 x 32  Seat 18H in  
 
  Condition: Used in very good vintage condition. The chairs will need to be reupholstered.   
  Location: Local pick up Portland, OR.  Shipping Suggestions available upon request.  
   ","Seating, Tables & Desks","Chairs, Tables","Dining tables, Dining Chairs",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_b619c995-2892-46d5-b04f-6988dbb499ff.jpg,in_stock
Corden Modern Classic Black Iron Media Console Table MTF156-45," Description: Elevate your living space with the Corden Modern Classic Black Iron Media Console. This sleek console features a black iron exterior and a white interior shelving, providing a modern and classic touch to any room. Perfect for organizing and displaying your media devices and decor, while adding a touch of sophistication. 
 Dimensions: 
 
 39.5 inches high x 94.5 inches wide x 16 inches deep 
 Pre-cut media holes at back for wiring 
 Constructed from glass and iron 
 Finished in painted white and black 
 Features a distressed black iron frame and a clean white interior finish 
 Windowpane doors and ample interior shelving 
 Weight: 205.03 pounds 
 
  Condition: New. There is an area where the item has a dent on the interior shelf behind the middle support post during shipping.  There is a small area where the paint has chipped. Please see photos for more detail.   
  Location: Local pick up Portland, OR.  Shipping Suggestions available upon request.  
   ",Storage,Sideboards & Credenzas,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_a6ffd489-7f6c-488c-b236-e77b33edc078.jpg,in_stock
Black Lacquer Najarian Mid Century Dining Table & 6 Arm Chairs DH225-3," Elevate your dining experience with our Black Lacquer Italian Style Mid Century Dining Table &amp; 6 Arm Chairs. This luxurious set exudes class and style with its sleek black lacquer finish and elegant Italian design. Entertain guests in comfort and sophistication with the 6 arm chairs, perfect for any dining occasion. 
 Dimensions: 70 x 40 x 30""H  
 Condition: Very good.  Please see photos for surface scratches 
 Local pick up Annandale, VA.  Contact us for shipper suggestions ","Seating, Tables & Desks","Chairs, Tables","Dining tables, Dining Chairs",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_ce06e979-53fe-4e91-b3a7-4075f8a78fb0.jpg,in_stock
Benchmade Tyler Modern Gray Tufted Back Sofa Couch MTF156-27,"   Description:  Simply modern and slightly classic, the Tyler collection is a versatile choice for just about any space. This design has clean lines, tufted buttons, and an eye-catching exposed leg detail. This is the sofa piece for the bumper on right sectional.   
  Dimensions: 78 x 37 x 33H in  |  Seat: 23D x 18H in  |  Arm: 23H in  
  Condition: Used. Lightly used. Sofa has been profesionally cleaned.   
  Location: Local pick up Portland, OR.  Shipping Suggestions available upon request.  
   ",Seating,Sofas,Sofas,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_1e257a91-58e8-4f1a-9ef9-343b8907c0b5.png,in_stock
Benchmade 37x37 Grey Chenille Square Crowd Pleaser Ottoman MTF156-29,"   Description: Like a peace-keeping middle child, Crowd Pleaser is…well…a crowd pleaser! Elegant and stylish while still feeling extremely relaxed, this style features a deep seat with plush back cushions across the tailored and refined wrap-around frame. This modern style works well in any space you need a sophisticated but cozy presence. Upholstered in Grey Charles Aluminum.   Charles is a textured chenille that combines cotton, viscose, and linen with polyester to create a high quality and luxurious performance fabric. Natural fiber gives this chenille a soft hand and unique finish that is perfect for any environment. Charles has a protective finish and part of our Performance collection. Stained walnut legs.    
  Dimensions: 37 x 37 x 19H in  
    Condition: Used in like new condition. Please see photos for more detail.  
  Location: Local pick up Portland, OR.  Shipping Suggestions available upon request.  
   ",Seating,Ottomans & Footstools,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_7806c958-70cb-4b2e-9b54-d45623c0fa34.png,in_stock
Bedard Wood Dining Table w/4 Mission Style Side Chairs MTF156-50," Introduce sophistication and elegance into your dining space with this Bedard Dining Table w/4 Mission Style Side Chairs. Crafted with a sleek and modern design, this table and chair set adds a touch of luxury to any gathering. The mission-style chairs provide comfortable seating while the table's clean lines and chic finish bring an exclusive touch to your dining experience. 
  Dimensions: Table 78 x 40 x 30.5H in | Chairs 18 x 17 x 41  Seat 19H in   
  Condition: Used in good condition. Chairs will need a good cleaning or reupholstery.   
  Location: Local pick up Portland, OR.  Shipping suggestions available upon request.  
   ","Seating, Tables & Desks","Chairs, Tables","Dining tables, Dining Chairs",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_7076f2b5-d3b5-4f47-a965-d36ff61d6c02.jpg,in_stock
Basset Chest of Drawers 5 Drawer DH225-9," Introducing the Basset Chest of Drawers, an exquisite addition to any elegant space. With its 5 spacious drawers, this luxurious piece offers both practicality and sophistication. Made with the highest quality materials and attention to detail, it exudes an air of exclusivity and refinement. Elevate your living space with the Basset Chest of Drawers. 
 Dimensions: 38 x 15 x 53""H  
 Condition: Very good.   
 Local pick up Annandale, VA.  Contact us for shipper suggestions ",Storage,Dressers & Chests of Drawers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_d13d9b99-71bb-41fd-a203-76e9b94fd272.jpg,in_stock
Authentic Mies van der Rohe 60s Knoll Barcelona Chair Iconic Black DH225-2," Experience the iconic design of the 60s with our Authentic Mies van der Rohe Knoll Barcelona Chair! This black beauty effortlessly blends style and comfort, making it a timeless piece for any interior. Elevate your space with this must-have and feel the luxury of high-quality craftsmanship. 
 Dimensions: 29 x 33 x 29""H 
 Condition: Very good.  Please see photos showing on leather strap missing and one broken 
 Local pick up Annandale, VA.  Contact us for shipper suggestions ",Seating,"Chairs, Armchairs","Accent Chairs, Arm Chairs",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_2babc755-b548-4744-8269-eb8f74a1263c.jpg,in_stock
Antique Solid Wood 4 Drawer Dresser w/Brass Pulls MTF156-52," Indulge in timeless elegance with our Antique Solid Wood Dresser. Crafted from exquisite solid wood, this dresser boasts a luxurious and sophisticated design. The brass pulls add a touch of opulence, elevating any bedroom decor. Enhance your living space with this premium piece that exudes an aura of grandeur and refinement. 
  Dimensions: 39 x 20.5 x 37H in   
  Condition: Used in good condition. Chairs will need a good cleaning or reupholstery.   
  Location: Local pick up Portland, OR.  Shipping suggestions available upon request.  
   ",Storage,Dressers & Chests of Drawers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_3369b128-e2aa-49fa-bc62-963a9e5199af.jpg,in_stock
